,BidVolP,AskVolP,BidVolC,AskVolC
1.8,0.35391153844854745,0.36538254734763875,0.3783975062138299,0.4343265911946409
1.85,0.35146397061073,0.3574630697810657,0.36255885606335814,0.42133231274948624
1.9,0.33907541208381,0.35320921968754065,0.3572334795596767,0.37118162943664074
1.95,0.35633456617077125,0.35894181797953095,0.3516204692942474,0.3733477070270565
2.0,0.34203738612240575,0.3554786356178573,0.3670432204423433,0.38594268128260406
2.05,0.3327387800785666,0.37240041245118727,0.37328186984226086,0.38201589716080114
2.1,0.30380234523035743,0.3918163778516906,0.39961678681771273,0.4119497246511836
2.15,NaN,0.5441849979576996,0.39374802871173686,0.4063361313479889
2.2,NaN,0.646090281719417,0.40738850968163637,0.4237229653324718
2.25,NaN,1.6228188246934676,0.43100922372823897,0.44860242685279794
2.3,NaN,1.729667621623267,0.46310011528588635,0.4975753643490558
2.35,NaN,0.8722849978192856,0.4984594227558354,0.5295280835504999
2.4,NaN,1.154005787291729,0.5243542666461181,0.5658956564371188
2.45,NaN,2.0300535706967437,0.5704204850666861,0.6148040798888137
2.5,NaN,2.0442951451211715,0.6151357036083396,0.662235303847119
2.55,NaN,2.076392594517668,0.6585965280944737,0.7082986764356557
2.6,NaN,2.2174896911677666,0.7008862569456068,0.7302605974845986
