,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type and Action,Profit
36,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.806229,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.21015252672058
37,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:07.806282,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",7.524644719920063
38,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:08.210341,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.7719884623208477
39,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:08.210363,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",9.21015252672058
40,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:08.210460,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.21015252672060036
41,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:08.210967,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",7.524644719920063
42,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:08.709271,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.21015252672060036
43,1.957,0.0411,0.0387,1.95,2016-Feb-16 09:31:08.709318,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",19.210152526720588
44,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:08.709488,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",7.524644719920063
45,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:14.823293,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.815728140932113
46,1.958,0.0227,0.071,2.0,2016-Feb-16 09:31:15.936352,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.815728140932113
