,BidVolP,AskVolP,BidVolC,AskVolC
1.8,0.3568600300671849,0.3786787915707574,0.3705308891287915,0.3883852647062819
1.85,0.3484237222907699,0.35894672031097585,0.3169503025356129,0.4502789158558429
1.9,0.35019364400302283,0.3632135646602814,0.34213165375726096,0.3602336075738943
1.95,0.3545964029804067,0.3606799906216652,0.3594422045019548,0.36204946659319764
2.0,0.32359318159282535,0.37449485654006254,0.36514289330429767,0.38029176826638605
2.05,0.35041735956109776,0.39339337323940843,0.37202111668446974,0.3807776160580173
2.1,NaN,0.4855712153703632,0.39415042609412876,0.4237712507131484
2.15,NaN,0.5542752207273497,0.39374802871173686,0.4093280234491769
2.2,NaN,0.646090281719417,0.40738850968163637,0.42868268263882536
2.25,NaN,1.616019714483716,0.43100922372823897,0.4563179931033032
2.3,NaN,1.729667621623267,0.46310011528588635,0.4975753643490558
2.35,NaN,1.8346573592760336,0.4984594227558354,0.5295280835504999
2.4,NaN,1.154005787291729,0.5243542666461181,0.5658956564371188
2.45,NaN,2.0290098456419354,0.5333580045718234,0.6148040798888137
2.5,NaN,2.0442951451211715,0.5757153394690138,0.662235303847119
2.55,NaN,2.131968307070643,0.6585965280944737,0.7082986764356557
2.6,NaN,2.2174896911677666,0.65702608142385,0.7302605974845986
