,BidVolP,AskVolP,BidVolC,AskVolC
1.8,0.3504545834022421,0.37506908202176104,0.42011064393140846,0.4675245587404213
1.85,0.34554921555159346,0.34705598072368166,0.344588238382483,0.3941604427353419
1.9,0.3392728772369731,0.3542628986025289,0.34120735430399396,0.37001309761136447
1.95,0.35138167718033747,0.36268416182006835,0.35963097360352103,0.3752808869046115
2.0,0.3415077753313742,0.3618343244078113,0.3714687817564414,0.3838527631330193
2.05,0.3402398535768154,0.3722652454961162,0.37176683123450693,0.3831904371597958
2.1,0.30094732423726916,0.414051405854276,0.3981837122538963,0.4212488269994359
2.15,NaN,0.523710513386238,0.3903403503994106,0.4127835580762021
2.2,NaN,0.6125536744325285,0.4103437762357957,0.42676751632118687
2.25,NaN,1.602733894264623,0.4337155260909177,0.451395648424941
2.3,NaN,1.7158578125753887,0.4656585980353938,0.5002863952865612
2.35,NaN,0.9188652413748771,0.5009196002828883,0.5321136024773331
2.4,NaN,1.124903221866884,0.5267036221585711,0.5683994147852913
2.45,NaN,2.0148376296483406,0.5727512525904775,0.6172861703729726
2.5,NaN,2.028044267144917,0.6174501718115698,0.6646984239886353
2.55,NaN,2.059218609478235,0.6608965377270342,0.7107449921417905
2.6,NaN,2.2004501559155902,0.7031733167901288,0.7326292929676089
