,ETFPrice,CallPrice,PutPrice,StrikePrice,LocalTime,Type and Action,Profit
13,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:21.660755,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",2.402368116059053
14,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:22.588168,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",2.402368116059053
15,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:23.104137,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",2.402368116059053
16,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:23.604389,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",2.402368116059053
17,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:24.642962,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",2.402368116059053
18,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:26.138042,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",2.402368116059053
19,1.959,0.042,0.0401,1.95,2016-Feb-16 09:30:26.138067,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",2.402368116059053
20,1.959,0.042,0.039,1.95,2016-Feb-16 09:30:34.699123,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",8.597631883940915
21,1.959,0.042,0.039,1.95,2016-Feb-16 09:30:34.699247,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",8.597631883940915
22,1.959,0.1557,0.0036,1.8,2016-Feb-16 09:30:41.169223,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.9121240771403638
23,1.959,0.1557,0.0036,1.8,2016-Feb-16 09:30:41.679295,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.9121240771403638
24,1.959,0.1557,0.0036,1.8,2016-Feb-16 09:30:46.265011,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.9121240771403638
25,1.958,0.1547,0.0036,1.8,2016-Feb-16 09:30:54.725671,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.8683843985313189
26,1.958,0.1547,0.0036,1.8,2016-Feb-16 09:30:55.203189,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.8683843985313189
27,1.958,0.071,0.0192,1.9,2016-Feb-16 09:30:56.220398,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",6.992056269729402
28,1.958,0.1547,0.0036,1.8,2016-Feb-16 09:30:57.225568,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",0.8683843985313189
29,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:57.225583,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
30,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:57.732777,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
31,1.958,0.0422,0.0407,1.95,2016-Feb-16 09:30:58.231042,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.5538922053318656
32,1.958,0.0422,0.04,1.95,2016-Feb-16 09:30:58.231110,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",10.553892205331858
33,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:58.231202,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
34,1.958,0.0422,0.0407,1.95,2016-Feb-16 09:30:58.737557,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.5538922053318656
35,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:58.737623,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
36,1.958,0.1547,0.0035,1.8,2016-Feb-16 09:30:58.737652,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",1.8683843985312087
37,1.959,0.0434,0.0406,1.95,2016-Feb-16 09:31:03.227368,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",6.597631883940927
38,1.959,0.0434,0.0406,1.95,2016-Feb-16 09:31:03.227393,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",6.597631883940927
39,1.958,0.0718,0.0207,1.9,2016-Feb-16 09:31:03.227648,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",0.007943730270520977
40,1.958,0.0718,0.0207,1.9,2016-Feb-16 09:31:03.727330,"Put Call Parity, Sell Put and Buy Call and sell Stock and Buy Risk Free Bond",0.007943730270520977
41,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767138,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.0719884623208475
42,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:04.767171,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.0719884623208475
43,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:04.767236,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.5101525267206
44,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:04.767471,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.824644719919952
45,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:05.263763,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.0719884623208475
46,1.957,0.0411,0.0406,1.95,2016-Feb-16 09:31:05.263793,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",3.5101525267206
47,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:05.264023,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.824644719919952
48,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:05.775505,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.0719884623208475
49,1.957,0.0429,0.0406,1.95,2016-Feb-16 09:31:05.775596,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",21.51015252672063
50,1.957,0.0429,0.0397,1.95,2016-Feb-16 09:31:05.775629,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",30.51015252672061
51,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:05.775898,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.824644719919952
52,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:06.277278,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.0719884623208475
53,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.277352,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",12.51015252672058
54,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.277387,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",12.51015252672058
55,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.277599,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.824644719919952
56,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.277629,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.824644719919952
57,1.957,0.0243,0.072,2.0,2016-Feb-16 09:31:06.788770,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",21.07198846232089
58,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.788786,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",12.51015252672058
59,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:06.788816,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",12.51015252672058
60,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.788979,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.824644719919952
61,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:06.789157,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.824644719919952
62,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:07.268641,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.0719884623208475
63,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.268659,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",12.51015252672058
64,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.268706,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",12.51015252672058
65,1.957,0.1547,0.0035,1.8,2016-Feb-16 09:31:07.268892,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",11.824644719919952
66,1.957,0.1547,0.0036,1.8,2016-Feb-16 09:31:07.268914,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",10.824644719920062
67,1.957,0.0227,0.072,2.0,2016-Feb-16 09:31:07.806206,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",5.0719884623208475
68,1.957,0.0411,0.0397,1.95,2016-Feb-16 09:31:07.806229,"Put Call Parity, Sell Call and Buy Put and Buy the Stock and Sell Risk Free Bond",12.51015252672058
